name	manufacturer	model	area	integrations	disabled_by	sw_version	device_id
192.168.179.41:8123				cert_expiry			2333a4e5b9b56e30358f12c9952569ba
ARLO CONTROLLER	Arlo	ARLO CONTROLLER	Garden	aarlo		0.8.1.18	772f60dfd38d14b184108a6d48a629fb
Aarlo for tongai.maramba@gmail.com	Arlo			aarlo			841ceb17747d81b657c320e583b41047
Aarlo for tongai.maramba@gmail.com	Arlo			aarlo			0c7aea12491bcb62b19657e5e58fd2ef
Advanced SSH & Web Terminal	Home Assistant Community Apps	Home Assistant Add-on		hassio		21.0.2	6d18bc3182b809ec5a17262521976fa9
Alexa Media Player	alandtse, keatontaylor	integration		hacs			d4ee7d2b43c8ab642bfcbd7fad510761
Alexandra_Drive	AccuWeather, Inc.		Home General	accuweather			a3aa69d047614e228099f5744cd43221
AppDaemon	Home Assistant Community Apps	Home Assistant Add-on		hassio		0.16.7	add26c11cc0f794a1d5ad8db21e893dd
Arlo Camera Support	twrecked	integration		hacs			47031f9ec0cb036762c026edb1c8d4b4
Attributes extractor	pilotak	integration		hacs			b2d770a1defbf09eec6494905e759d19
BHA Icon Pack	hulkhaugen	plugin		hacs			10fc0326f93f2c72c7655ce503f8046a
BP2367888896	Tado	BP02	Garage	tado		94.2	0db9f1c0badfe12c9482150e32c091c0
Backup	Home Assistant	Home Assistant Backup		backup		2025.11.2	804c44814c10adffabfe38af9bbcbe0e
Bathroom	Signify Netherlands B.V.	Room	Bathroom	hue			41aefb7093a11e5efecdf50c135b2340
Bathroom Dimmer	Signify Netherlands B.V.	Hue dimmer switch	Bathroom	hue		67.116.1	aed09686fe08ee9fbdae2218c7a7b6c0
Bathroom Sink	Signify Netherlands B.V.	Hue lightstrip plus	Bathroom	hue		1.116.12	3086af89b721357eddfa9a7b396482a3
Bathroom Sink	Signify Netherlands B.V.	Hue motion sensor	Bathroom	hue		67.116.1	5f474b04197dfcd255578d2ebd53ceec
Bathroom Window			Kids Bathroom	smartthings			fd2f4b8a5b80e146712b37f481691ca7
Bathroom heater	Signify Netherlands B.V.	Hue Smart button	Bathroom	hue		2.47.8	d87eb47a15013be1a336a4d0c0bd44e8
Battery Entity Row	benct	plugin		hacs			bc627d55f085c45b21dcccf1ae5a15d4
Bay Party Wall			Living Room	smartthings			06b596aaa74ea7f4eee1eb1892fc69e3
Bay Window			Living Room	smartthings			68a4ebb2c3d85b60b6542cb5d860dc88
